label,week_avg_temp,week_avg_rain,week_avg_humidity
15년 1주,-2.7,1.133,53.157
15년 2주,-1.129,,48.129
15년 3주,-0.029,1.467,60.457
15년 4주,0.986,1.75,65.786
15년 5주,-1.643,,52.257
15년 6주,-1.371,0.2,56.814
15년 7주,1.971,3.667,65.729
15년 8주,3.571,3.667,64.057
15년 9주,1.371,2.0,49.457
15년 10주,1.957,,40.857
15년 11주,6.957,0.533,45.371
15년 12주,8.9,,35.814
15년 13주,10.886,2.5,57.257
15년 14주,10.914,6.4,63.543
15년 15주,11.371,6.0,52.743
15년 16주,12.929,4.9,55.7
15년 17주,17.029,1.75,43.314
15년 18주,18.129,2.0,55.757
15년 19주,17.0,7.833,55.629
15년 20주,17.843,1.0,59.9
15년 21주,20.829,,43.729
15년 22주,22.586,0.4,44.643
15년 23주,22.714,1.0,51.486
15년 24주,24.043,6.7,65.6
15년 25주,23.671,23.75,65.729
15년 26주,24.314,3.5,65.157
15년 27주,24.229,0.5,59.5
15년 28주,26.857,13.0,71.229
15년 29주,25.7,4.375,67.414
15년 30주,26.171,24.071,85.971
15년 31주,27.886,5.533,74.229
15년 32주,27.514,9.25,71.786
15년 33주,26.8,7.275,67.429
15년 34주,24.614,1.68,70.643
15년 35주,24.7,0.2,65.329
15년 36주,22.929,11.5,60.457
15년 37주,21.329,2.5,58.329
15년 38주,22.314,,56.314
15년 39주,22.271,0.0,46.9
15년 40주,17.843,35.0,56.243
15년 41주,14.9,3.5,62.271
15년 42주,18.114,,67.486
15년 43주,15.029,13.0,62.057
15년 44주,8.757,0.5,53.314
15년 45주,11.529,10.75,78.557
15년 46주,12.671,9.25,79.2
15년 47주,7.8,5.375,72.143
15년 48주,1.6,4.15,68.557
15년 49주,1.914,7.1,57.914
15년 50주,4.757,0.967,61.171
15년 51주,0.671,0.8,61.714
15년 52주,-1.814,1.067,54.243
15년 53주,1.671,,65.7
16년 1주,-3.143,0.4,49.757
16년 2주,-4.557,0.1,55.1
16년 3주,-7.771,0.15,49.029
16년 4주,-2.229,,45.143
16년 5주,-0.657,,46.814
16년 6주,2.343,7.067,65.8
16년 7주,0.757,0.45,47.271
16년 8주,0.371,1.075,54.014
16년 9주,7.371,10.075,53.929
16년 10주,3.071,0.1,50.114
16년 11주,10.114,,52.143
16년 12주,8.657,0.1,49.429
16년 13주,13.229,2.5,42.986
16년 14주,13.071,4.25,64.957
16년 15주,12.943,11.5,60.357
16년 16주,15.929,8.5,52.043
16년 17주,16.829,14.6,52.143
16년 18주,17.457,7.625,61.643
16년 19주,18.786,16.0,55.214
16년 20주,22.414,38.5,45.814
16년 21주,21.5,0.0,58.886
16년 22주,22.629,0.05,52.857
16년 23주,23.414,5.0,69.843
16년 24주,24.043,10.167,65.757
16년 25주,24.2,1.8,63.271
16년 26주,23.343,40.45,81.3
16년 27주,26.843,0.75,67.029
16년 28주,25.186,10.16,72.243
16년 29주,28.357,0.5,70.614
16년 30주,28.071,12.48,72.629
16년 31주,30.314,1.0,62.6
16년 32주,29.757,0.233,66.443
16년 33주,29.671,3.98,61.971
16년 34주,22.143,7.25,61.914
16년 35주,24.614,2.5,69.971
16년 36주,24.057,3.5,68.1
16년 37주,22.543,7.0,55.571
16년 38주,21.871,7.0,64.086
16년 39주,20.971,12.5,68.357
16년 40주,15.814,4.0,57.5
16년 41주,17.243,1.5,65.029
16년 42주,15.8,13.167,66.429
16년 43주,8.029,0.3,50.857
16년 44주,9.914,1.24,62.429
16년 45주,9.214,1.6,60.4
16년 46주,7.414,0.067,50.829
16년 47주,1.686,1.267,55.871
16년 48주,3.171,0.75,54.4
16년 49주,0.729,2.033,55.086
16년 50주,2.943,9.7,60.543
16년 51주,-0.271,6.025,67.757
16년 52주,0.886,0.2,62.843
17년 1주,2.043,0.0,54.2
17년 2주,-4.214,0.2,44.6
17년 3주,-5.743,2.033,57.671
17년 4주,-2.7,1.975,53.071
17년 5주,-0.714,0.5,58.5
17년 6주,-2.386,,49.386
17년 7주,0.8,2.12,57.129
17년 8주,2.6,5.0,52.571
17년 9주,2.1,0.25,53.557
17년 10주,6.071,0.0,43.243
17년 11주,8.5,,39.471
17년 12주,7.886,0.4,50.243
17년 13주,10.671,13.333,54.443
17년 14주,13.714,1.333,53.8
17년 15주,14.314,4.75,58.614
17년 16주,14.557,0.1,46.071
17년 17주,18.1,,46.886
17년 18주,17.829,2.5,50.114
17년 19주,17.457,2.0,63.771
17년 20주,21.071,2.55,51.229
17년 21주,21.057,,48.314
17년 22주,21.029,7.0,50.686
17년 23주,21.571,1.533,55.6
17년 24주,24.757,0.0,52.771
17년 25주,24.943,8.5,64.857
17년 26주,25.786,40.125,74.829
17년 27주,26.2,33.286,82.6
17년 28주,27.014,15.0,77.3
17년 29주,28.614,45.667,72.357
17년 30주,27.429,3.5,74.071
17년 31주,29.529,2.5,65.314
17년 32주,25.1,17.167,75.229
17년 33주,25.814,26.917,80.043
17년 34주,22.786,7.667,63.429
17년 35주,22.871,1.0,61.871
17년 36주,22.6,12.25,67.557
17년 37주,22.014,8.0,55.743
17년 38주,22.329,0.125,62.971
17년 39주,18.729,2.75,55.529
