연도,주차,연령대,의사환자 분율
2019,36,65세이상,0.9
2019,37,65세이상,0.9
2019,38,65세이상,1.4
2019,39,65세이상,1.2
2019,40,65세이상,1.4
2019,41,65세이상,1.4
2019,42,65세이상,0.7
2019,43,65세이상,1.2
2019,44,65세이상,1.7
2019,45,65세이상,2.1
2019,46,65세이상,1.8
2019,47,65세이상,1.8
2019,48,65세이상,2.2
2019,49,65세이상,3.4
2019,50,65세이상,5.1
2019,51,65세이상,6.0
2019,52,65세이상,8.1
2019,53,65세이상,8.1
2020,1,65세이상,13.2
2020,2,65세이상,13.0
2020,3,65세이상,10.8
2020,4,65세이상,11.0
2020,5,65세이상,7.6
2020,6,65세이상,5.0
2020,7,65세이상,4.2
2020,8,65세이상,2.8
2020,9,65세이상,2.3
2020,10,65세이상,1.8
2020,11,65세이상,1.7
2020,12,65세이상,1.8
2020,13,65세이상,1.4
2020,14,65세이상,1.2
2020,15,65세이상,1.5
2020,16,65세이상,1.5
2020,17,65세이상,1.4
2020,18,65세이상,0.7
2020,19,65세이상,1.4
2020,20,65세이상,1.1
2020,21,65세이상,1.2
2020,22,65세이상,1.1
2020,23,65세이상,1.0
2020,24,65세이상,0.9
2020,25,65세이상,1.0
2020,26,65세이상,0.9
2020,27,65세이상,1.2
2020,28,65세이상,0.9
2020,29,65세이상,1.0
2020,30,65세이상,1.4
2020,31,65세이상,0.7
2020,32,65세이상,1.2
2020,33,65세이상,1.1
2020,34,65세이상,0.8
2020,35,65세이상,1.2
2019,36,50-64세,1.7
2019,37,50-64세,2.4
2019,38,50-64세,1.9
2019,39,50-64세,2.2
2019,40,50-64세,2.5
2019,41,50-64세,3.2
2019,42,50-64세,3.2
2019,43,50-64세,2.6
2019,44,50-64세,3.0
2019,45,50-64세,3.0
2019,46,50-64세,3.8
2019,47,50-64세,3.7
2019,48,50-64세,4.6
2019,49,50-64세,7.5
2019,50,50-64세,13.1
2019,51,50-64세,16.4
2019,52,50-64세,23.2
2019,53,50-64세,23.2
2020,1,50-64세,30.0
2020,2,50-64세,30.0
2020,3,50-64세,26.0
2020,4,50-64세,24.0
2020,5,50-64세,16.8
2020,6,50-64세,10.5
2020,7,50-64세,7.7
2020,8,50-64세,5.2
2020,9,50-64세,4.4
2020,10,50-64세,4.0
2020,11,50-64세,3.0
2020,12,50-64세,2.7
2020,13,50-64세,2.0
2020,14,50-64세,2.3
2020,15,50-64세,2.4
2020,16,50-64세,2.4
2020,17,50-64세,2.0
2020,18,50-64세,1.6
2020,19,50-64세,2.2
2020,20,50-64세,2.9
2020,21,50-64세,2.1
2020,22,50-64세,1.8
2020,23,50-64세,2.2
2020,24,50-64세,2.0
2020,25,50-64세,2.1
2020,26,50-64세,1.6
2020,27,50-64세,2.2
2020,28,50-64세,1.6
2020,29,50-64세,1.7
2020,30,50-64세,2.0
2020,31,50-64세,1.3
2020,32,50-64세,2.4
2020,33,50-64세,2.2
2020,34,50-64세,0.9
2020,35,50-64세,1.7
2019,36,19-49세,3.6
2019,37,19-49세,3.6
2019,38,19-49세,3.8
2019,39,19-49세,3.7
2019,40,19-49세,4.0
2019,41,19-49세,5.6
2019,42,19-49세,6.7
2019,43,19-49세,4.9
2019,44,19-49세,5.1
2019,45,19-49세,5.9
2019,46,19-49세,7.0
2019,47,19-49세,9.4
2019,48,19-49세,9.4
2019,49,19-49세,17.0
2019,50,19-49세,24.3
2019,51,19-49세,35.4
2019,52,19-49세,48.7
2019,53,19-49세,48.7
2020,1,19-49세,55.1
2020,2,19-49세,61.3
2020,3,19-49세,48.1
2020,4,19-49세,46.5
2020,5,19-49세,32.5
2020,6,19-49세,17.9
2020,7,19-49세,11.2
2020,8,19-49세,8.7
2020,9,19-49세,6.1
2020,10,19-49세,4.1
2020,11,19-49세,3.5
2020,12,19-49세,4.4
2020,13,19-49세,4.3
2020,14,19-49세,3.5
2020,15,19-49세,3.4
2020,16,19-49세,3.2
2020,17,19-49세,3.7
2020,18,19-49세,2.8
2020,19,19-49세,3.4
2020,20,19-49세,3.2
2020,21,19-49세,2.8
2020,22,19-49세,2.4
2020,23,19-49세,3.3
2020,24,19-49세,2.6
2020,25,19-49세,2.7
2020,26,19-49세,2.7
2020,27,19-49세,2.7
2020,28,19-49세,2.5
2020,29,19-49세,2.6
2020,30,19-49세,2.8
2020,31,19-49세,2.0
2020,32,19-49세,2.5
2020,33,19-49세,2.6
2020,34,19-49세,2.0
2020,35,19-49세,2.3
2019,36,13-18세,3.6
2019,37,13-18세,2.8
2019,38,13-18세,4.9
2019,39,13-18세,4.7
2019,40,13-18세,3.3
2019,41,13-18세,3.1
2019,42,13-18세,6.1
2019,43,13-18세,4.5
2019,44,13-18세,5.8
2019,45,13-18세,8.0
2019,46,13-18세,8.0
2019,47,13-18세,13.7
2019,48,13-18세,20.7
2019,49,13-18세,21.4
2019,50,13-18세,38.8
2019,51,13-18세,61.3
2019,52,13-18세,91.1
2019,53,13-18세,91.1
2020,1,13-18세,93.6
2020,2,13-18세,83.1
2020,3,13-18세,65.8
2020,4,13-18세,52.1
2020,5,13-18세,34.9
2020,6,13-18세,23.1
2020,7,13-18세,10.5
2020,8,13-18세,8.6
2020,9,13-18세,3.6
2020,10,13-18세,2.1
2020,11,13-18세,2.3
2020,12,13-18세,3.2
2020,13,13-18세,3.8
2020,14,13-18세,1.6
2020,15,13-18세,0.8
2020,16,13-18세,0.8
2020,17,13-18세,0.8
2020,18,13-18세,0.0
2020,19,13-18세,2.2
2020,20,13-18세,0.7
2020,21,13-18세,3.1
2020,22,13-18세,2.9
2020,23,13-18세,1.6
2020,24,13-18세,0.9
2020,25,13-18세,0.9
2020,26,13-18세,0.5
2020,27,13-18세,1.2
2020,28,13-18세,0.8
2020,29,13-18세,0.4
2020,30,13-18세,2.0
2020,31,13-18세,1.1
2020,32,13-18세,0.5
2020,33,13-18세,1.6
2020,34,13-18세,2.9
2020,35,13-18세,1.1
2019,36,7-12세,3.8
2019,37,7-12세,5.0
2019,38,7-12세,4.1
2019,39,7-12세,4.3
2019,40,7-12세,4.8
2019,41,7-12세,5.5
2019,42,7-12세,6.7
2019,43,7-12세,7.2
2019,44,7-12세,11.6
2019,45,7-12세,13.2
2019,46,7-12세,19.7
2019,47,7-12세,24.1
2019,48,7-12세,35.2
2019,49,7-12세,59.5
2019,50,7-12세,87.9
2019,51,7-12세,102.2
2019,52,7-12세,128.8
2019,53,7-12세,128.8
2020,1,7-12세,113.2
2020,2,7-12세,105.2
2020,3,7-12세,86.3
2020,4,7-12세,65.9
2020,5,7-12세,53.6
2020,6,7-12세,29.3
2020,7,7-12세,25.4
2020,8,7-12세,17.5
2020,9,7-12세,9.9
2020,10,7-12세,3.0
2020,11,7-12세,5.1
2020,12,7-12세,1.9
2020,13,7-12세,2.5
2020,14,7-12세,3.4
2020,15,7-12세,6.6
2020,16,7-12세,0.7
2020,17,7-12세,1.7
2020,18,7-12세,0.9
2020,19,7-12세,1.8
2020,20,7-12세,2.4
2020,21,7-12세,1.7
2020,22,7-12세,2.9
2020,23,7-12세,3.5
2020,24,7-12세,1.0
2020,25,7-12세,1.4
2020,26,7-12세,1.4
2020,27,7-12세,1.0
2020,28,7-12세,0.7
2020,29,7-12세,0.9
2020,30,7-12세,2.9
2020,31,7-12세,1.7
2020,32,7-12세,1.7
2020,33,7-12세,1.1
2020,34,7-12세,4.6
2020,35,7-12세,2.1
2019,36,1-6세,5.6
2019,37,1-6세,5.3
2019,38,1-6세,5.8
2019,39,1-6세,6.3
2019,40,1-6세,6.0
2019,41,1-6세,5.6
2019,42,1-6세,6.2
2019,43,1-6세,6.7
2019,44,1-6세,8.4
2019,45,1-6세,10.4
2019,46,1-6세,11.5
2019,47,1-6세,13.1
2019,48,1-6세,18.0
2019,49,1-6세,25.2
2019,50,1-6세,34.1
2019,51,1-6세,47.7
2019,52,1-6세,60.5
2019,53,1-6세,60.5
2020,1,1-6세,53.6
2020,2,1-6세,57.0
2020,3,1-6세,62.5
2020,4,1-6세,64.3
2020,5,1-6세,39.2
2020,6,1-6세,27.2
2020,7,1-6세,18.7
2020,8,1-6세,14.8
2020,9,1-6세,12.4
2020,10,1-6세,7.3
2020,11,1-6세,4.0
2020,12,1-6세,5.7
2020,13,1-6세,4.6
2020,14,1-6세,3.5
2020,15,1-6세,3.4
2020,16,1-6세,3.3
2020,17,1-6세,3.0
2020,18,1-6세,2.4
2020,19,1-6세,2.3
2020,20,1-6세,2.6
2020,21,1-6세,2.9
2020,22,1-6세,3.7
2020,23,1-6세,3.3
2020,24,1-6세,3.1
2020,25,1-6세,3.0
2020,26,1-6세,2.3
2020,27,1-6세,2.2
2020,28,1-6세,3.7
2020,29,1-6세,2.6
2020,30,1-6세,3.3
2020,31,1-6세,3.3
2020,32,1-6세,2.7
2020,33,1-6세,1.9
2020,34,1-6세,4.2
2020,35,1-6세,3.3
2019,36,0세,2.9
2019,37,0세,1.4
2019,38,0세,2.6
2019,39,0세,2.1
2019,40,0세,1.8
2019,41,0세,2.8
2019,42,0세,1.2
2019,43,0세,2.5
2019,44,0세,3.0
2019,45,0세,5.1
2019,46,0세,4.3
2019,47,0세,5.6
2019,48,0세,7.0
2019,49,0세,6.9
2019,50,0세,9.5
2019,51,0세,12.7
2019,52,0세,17.6
2019,53,0세,17.6
2020,1,0세,19.6
2020,2,0세,23.8
2020,3,0세,20.5
2020,4,0세,18.9
2020,5,0세,22.8
2020,6,0세,7.6
2020,7,0세,7.3
2020,8,0세,5.4
2020,9,0세,4.5
2020,10,0세,3.3
2020,11,0세,1.0
2020,12,0세,1.6
2020,13,0세,2.6
2020,14,0세,2.7
2020,15,0세,2.5
2020,16,0세,2.5
2020,17,0세,4.0
2020,18,0세,2.5
2020,19,0세,1.3
2020,20,0세,1.5
2020,21,0세,1.7
2020,22,0세,2.0
2020,23,0세,0.7
2020,24,0세,1.5
2020,25,0세,0.4
2020,26,0세,0.8
2020,27,0세,0.0
2020,28,0세,0.4
2020,29,0세,1.2
2020,30,0세,1.2
2020,31,0세,1.7
2020,32,0세,2.7
2020,33,0세,2.4
2020,34,0세,0.8
2020,35,0세,1.4
