연도,주차,연령대,입원환자 수
2023,36,65세이상,3
2023,37,65세이상,6
2023,38,65세이상,7
2023,39,65세이상,2
2023,40,65세이상,5
2023,41,65세이상,3
2023,42,65세이상,10
2023,43,65세이상,12
2023,44,65세이상,14
2023,45,65세이상,16
2023,46,65세이상,13
2023,47,65세이상,17
2023,48,65세이상,28
2023,49,65세이상,44
2023,50,65세이상,40
2023,51,65세이상,29
2023,52,65세이상,30
2023,53,65세이상,30
2024,1,65세이상,33
2024,2,65세이상,29
2024,3,65세이상,26
2024,4,65세이상,10
2024,5,65세이상,7
2024,6,65세이상,8
2024,7,65세이상,8
2024,8,65세이상,4
2024,9,65세이상,3
2024,10,65세이상,1
2024,11,65세이상,0
2024,12,65세이상,1
2024,13,65세이상,2
2024,14,65세이상,2
2024,15,65세이상,2
2024,16,65세이상,2
2024,17,65세이상,0
2024,18,65세이상,1
2024,19,65세이상,0
2024,20,65세이상,1
2024,21,65세이상,2
2024,22,65세이상,0
2024,23,65세이상,0
2024,24,65세이상,2
2024,25,65세이상,0
2024,26,65세이상,1
2024,27,65세이상,1
2024,28,65세이상,1
2024,29,65세이상,0
2024,30,65세이상,0
2024,31,65세이상,0
2024,32,65세이상,0
2024,33,65세이상,0
2024,34,65세이상,0
2024,35,65세이상,1
2023,36,50-64세,1
2023,37,50-64세,1
2023,38,50-64세,0
2023,39,50-64세,1
2023,40,50-64세,0
2023,41,50-64세,1
2023,42,50-64세,4
2023,43,50-64세,6
2023,44,50-64세,3
2023,45,50-64세,6
2023,46,50-64세,5
2023,47,50-64세,6
2023,48,50-64세,9
2023,49,50-64세,8
2023,50,50-64세,14
2023,51,50-64세,10
2023,52,50-64세,8
2023,53,50-64세,8
2024,1,50-64세,7
2024,2,50-64세,8
2024,3,50-64세,6
2024,4,50-64세,3
2024,5,50-64세,5
2024,6,50-64세,1
2024,7,50-64세,3
2024,8,50-64세,0
2024,9,50-64세,1
2024,10,50-64세,0
2024,11,50-64세,0
2024,12,50-64세,0
2024,13,50-64세,0
2024,14,50-64세,0
2024,15,50-64세,0
2024,16,50-64세,0
2024,17,50-64세,0
2024,18,50-64세,0
2024,19,50-64세,0
2024,20,50-64세,0
2024,21,50-64세,0
2024,22,50-64세,0
2024,23,50-64세,0
2024,24,50-64세,0
2024,25,50-64세,0
2024,26,50-64세,0
2024,27,50-64세,0
2024,28,50-64세,0
2024,29,50-64세,1
2024,30,50-64세,0
2024,31,50-64세,0
2024,32,50-64세,0
2024,33,50-64세,0
2024,34,50-64세,0
2024,35,50-64세,0
2023,36,19-49세,0
2023,37,19-49세,0
2023,38,19-49세,1
2023,39,19-49세,0
2023,40,19-49세,1
2023,41,19-49세,1
2023,42,19-49세,3
2023,43,19-49세,1
2023,44,19-49세,2
2023,45,19-49세,4
2023,46,19-49세,3
2023,47,19-49세,5
2023,48,19-49세,6
2023,49,19-49세,5
2023,50,19-49세,13
2023,51,19-49세,4
2023,52,19-49세,12
2023,53,19-49세,12
2024,1,19-49세,9
2024,2,19-49세,4
2024,3,19-49세,5
2024,4,19-49세,6
2024,5,19-49세,3
2024,6,19-49세,1
2024,7,19-49세,1
2024,8,19-49세,0
2024,9,19-49세,0
2024,10,19-49세,2
2024,11,19-49세,2
2024,12,19-49세,1
2024,13,19-49세,0
2024,14,19-49세,0
2024,15,19-49세,0
2024,16,19-49세,1
2024,17,19-49세,1
2024,18,19-49세,0
2024,19,19-49세,0
2024,20,19-49세,0
2024,21,19-49세,0
2024,22,19-49세,0
2024,23,19-49세,0
2024,24,19-49세,0
2024,25,19-49세,0
2024,26,19-49세,0
2024,27,19-49세,1
2024,28,19-49세,1
2024,29,19-49세,0
2024,30,19-49세,2
2024,31,19-49세,0
2024,32,19-49세,1
2024,33,19-49세,0
2024,34,19-49세,0
2024,35,19-49세,0
2023,36,13-18세,0
2023,37,13-18세,1
2023,38,13-18세,0
2023,39,13-18세,0
2023,40,13-18세,1
2023,41,13-18세,0
2023,42,13-18세,0
2023,43,13-18세,3
2023,44,13-18세,2
2023,45,13-18세,4
2023,46,13-18세,4
2023,47,13-18세,5
2023,48,13-18세,3
2023,49,13-18세,1
2023,50,13-18세,2
2023,51,13-18세,9
2023,52,13-18세,7
2023,53,13-18세,7
2024,1,13-18세,3
2024,2,13-18세,2
2024,3,13-18세,3
2024,4,13-18세,0
2024,5,13-18세,1
2024,6,13-18세,2
2024,7,13-18세,0
2024,8,13-18세,0
2024,9,13-18세,0
2024,10,13-18세,0
2024,11,13-18세,0
2024,12,13-18세,0
2024,13,13-18세,0
2024,14,13-18세,1
2024,15,13-18세,1
2024,16,13-18세,0
2024,17,13-18세,1
2024,18,13-18세,0
2024,19,13-18세,0
2024,20,13-18세,0
2024,21,13-18세,0
2024,22,13-18세,0
2024,23,13-18세,0
2024,24,13-18세,1
2024,25,13-18세,0
2024,26,13-18세,1
2024,27,13-18세,0
2024,28,13-18세,0
2024,29,13-18세,0
2024,30,13-18세,0
2024,31,13-18세,0
2024,32,13-18세,0
2024,33,13-18세,1
2024,34,13-18세,0
2024,35,13-18세,0
2023,36,7-12세,3
2023,37,7-12세,3
2023,38,7-12세,6
2023,39,7-12세,14
2023,40,7-12세,2
2023,41,7-12세,1
2023,42,7-12세,5
2023,43,7-12세,18
2023,44,7-12세,5
2023,45,7-12세,7
2023,46,7-12세,7
2023,47,7-12세,17
2023,48,7-12세,14
2023,49,7-12세,14
2023,50,7-12세,16
2023,51,7-12세,11
2023,52,7-12세,8
2023,53,7-12세,8
2024,1,7-12세,21
2024,2,7-12세,11
2024,3,7-12세,8
2024,4,7-12세,5
2024,5,7-12세,6
2024,6,7-12세,9
2024,7,7-12세,3
2024,8,7-12세,1
2024,9,7-12세,1
2024,10,7-12세,0
2024,11,7-12세,0
2024,12,7-12세,1
2024,13,7-12세,2
2024,14,7-12세,1
2024,15,7-12세,2
2024,16,7-12세,1
2024,17,7-12세,0
2024,18,7-12세,0
2024,19,7-12세,0
2024,20,7-12세,0
2024,21,7-12세,0
2024,22,7-12세,0
2024,23,7-12세,0
2024,24,7-12세,1
2024,25,7-12세,0
2024,26,7-12세,1
2024,27,7-12세,0
2024,28,7-12세,0
2024,29,7-12세,1
2024,30,7-12세,0
2024,31,7-12세,0
2024,32,7-12세,0
2024,33,7-12세,1
2024,34,7-12세,0
2024,35,7-12세,0
2023,36,1-6세,4
2023,37,1-6세,4
2023,38,1-6세,6
2023,39,1-6세,6
2023,40,1-6세,5
2023,41,1-6세,7
2023,42,1-6세,9
2023,43,1-6세,14
2023,44,1-6세,14
2023,45,1-6세,2
2023,46,1-6세,9
2023,47,1-6세,15
2023,48,1-6세,18
2023,49,1-6세,19
2023,50,1-6세,20
2023,51,1-6세,17
2023,52,1-6세,17
2023,53,1-6세,17
2024,1,1-6세,10
2024,2,1-6세,12
2024,3,1-6세,10
2024,4,1-6세,10
2024,5,1-6세,10
