연도,주차,아형,인플루엔자 검출률
2018,35,A(H1N1)pdm09,0.0
2018,34,A(H1N1)pdm09,0.0
2018,33,A(H1N1)pdm09,0.0
2018,32,A(H1N1)pdm09,0.7
2018,31,A(H1N1)pdm09,0.0
2018,30,A(H1N1)pdm09,0.7
2018,29,A(H1N1)pdm09,1.2
2018,28,A(H1N1)pdm09,0.0
2018,27,A(H1N1)pdm09,0.6
2018,26,A(H1N1)pdm09,0.0
2018,25,A(H1N1)pdm09,1.6
2018,24,A(H1N1)pdm09,1.8
2018,23,A(H1N1)pdm09,0.9
2018,22,A(H1N1)pdm09,3.4
2018,21,A(H1N1)pdm09,2.1
2018,20,A(H1N1)pdm09,2.0
2018,19,A(H1N1)pdm09,2.5
2018,18,A(H1N1)pdm09,2.6
2018,17,A(H1N1)pdm09,4.2
2018,16,A(H1N1)pdm09,1.9
2018,15,A(H1N1)pdm09,0.8
2018,14,A(H1N1)pdm09,1.6
2018,13,A(H1N1)pdm09,0.7
2018,12,A(H1N1)pdm09,1.2
2018,11,A(H1N1)pdm09,0.8
2018,10,A(H1N1)pdm09,0.9
2018,9,A(H1N1)pdm09,1.6
2018,8,A(H1N1)pdm09,1.4
2018,7,A(H1N1)pdm09,1.7
2018,6,A(H1N1)pdm09,1.0
2018,5,A(H1N1)pdm09,0.0
2018,4,A(H1N1)pdm09,0.3
2018,3,A(H1N1)pdm09,0.6
2018,2,A(H1N1)pdm09,1.8
2018,1,A(H1N1)pdm09,2.9
2017,53,A(H1N1)pdm09,3.9
2017,52,A(H1N1)pdm09,3.9
2017,51,A(H1N1)pdm09,3.3
2017,50,A(H1N1)pdm09,2.3
2017,49,A(H1N1)pdm09,1.7
2017,48,A(H1N1)pdm09,0.8
2017,47,A(H1N1)pdm09,0.4
2017,46,A(H1N1)pdm09,0.0
2017,45,A(H1N1)pdm09,0.0
2017,44,A(H1N1)pdm09,0.4
2017,43,A(H1N1)pdm09,0.0
2017,42,A(H1N1)pdm09,0.0
2017,41,A(H1N1)pdm09,0.0
2017,40,A(H1N1)pdm09,0.0
2017,39,A(H1N1)pdm09,0.0
2017,38,A(H1N1)pdm09,0.0
2017,37,A(H1N1)pdm09,0.0
2017,36,A(H1N1)pdm09,0.0
2018,35,A(H3N2),0.0
2018,34,A(H3N2),0.5
2018,33,A(H3N2),0.0
2018,32,A(H3N2),0.0
2018,31,A(H3N2),0.0
2018,30,A(H3N2),0.0
2018,29,A(H3N2),0.0
2018,28,A(H3N2),0.0
2018,27,A(H3N2),0.0
2018,26,A(H3N2),0.0
2018,25,A(H3N2),0.0
2018,24,A(H3N2),0.0
2018,23,A(H3N2),0.0
2018,22,A(H3N2),0.0
2018,21,A(H3N2),0.0
2018,20,A(H3N2),0.8
2018,19,A(H3N2),0.0
2018,18,A(H3N2),0.0
2018,17,A(H3N2),0.0
2018,16,A(H3N2),0.0
2018,15,A(H3N2),1.1
2018,14,A(H3N2),2.0
2018,13,A(H3N2),1.1
2018,12,A(H3N2),4.3
2018,11,A(H3N2),4.0
2018,10,A(H3N2),6.9
2018,9,A(H3N2),8.9
2018,8,A(H3N2),12.4
2018,7,A(H3N2),16.0
2018,6,A(H3N2),16.8
2018,5,A(H3N2),18.3
2018,4,A(H3N2),20.7
2018,3,A(H3N2),27.8
2018,2,A(H3N2),23.6
2018,1,A(H3N2),26.9
2017,53,A(H3N2),25.1
2017,52,A(H3N2),25.1
2017,51,A(H3N2),18.3
2017,50,A(H3N2),10.7
2017,49,A(H3N2),8.8
2017,48,A(H3N2),4.4
2017,47,A(H3N2),1.5
2017,46,A(H3N2),0.8
2017,45,A(H3N2),0.4
2017,44,A(H3N2),0.0
2017,43,A(H3N2),0.4
2017,42,A(H3N2),0.9
2017,41,A(H3N2),0.7
2017,40,A(H3N2),0.0
2017,39,A(H3N2),0.9
2017,38,A(H3N2),0.5
2017,37,A(H3N2),0.5
2017,36,A(H3N2),0.9
2018,35,B,0.0
