연도,주차,연령대,인플루엔자 검출률
2022,36,65세이상,0.0
2022,37,65세이상,0.0
2022,38,65세이상,8.3
2022,39,65세이상,0.0
2022,40,65세이상,0.0
2022,41,65세이상,0.0
2022,42,65세이상,0.0
2022,43,65세이상,0.0
2022,44,65세이상,0.0
2022,45,65세이상,0.0
2022,46,65세이상,0.0
2022,47,65세이상,4.5
2022,48,65세이상,6.3
2022,49,65세이상,0.0
2022,50,65세이상,3.7
2022,51,65세이상,11.1
2022,52,65세이상,8.0
2022,53,65세이상,6.3
2023,1,65세이상,22.7
2023,2,65세이상,25.9
2023,3,65세이상,12.5
2023,4,65세이상,16.7
2023,5,65세이상,6.9
2023,6,65세이상,0.0
2023,7,65세이상,3.4
2023,8,65세이상,3.4
2023,9,65세이상,3.6
2023,10,65세이상,0.0
2023,11,65세이상,0.0
2023,12,65세이상,0.0
2023,13,65세이상,0.0
2023,14,65세이상,4.5
2023,15,65세이상,0.0
2023,16,65세이상,2.6
2023,17,65세이상,3.6
2023,18,65세이상,0.0
2023,19,65세이상,0.0
2023,20,65세이상,12.1
2023,21,65세이상,2.8
2023,22,65세이상,15.4
2023,23,65세이상,0.0
2023,24,65세이상,0.0
2023,25,65세이상,0.0
2023,26,65세이상,11.5
2023,27,65세이상,0.0
2023,28,65세이상,4.3
2023,29,65세이상,10.5
2023,30,65세이상,8.3
2023,31,65세이상,8.0
2023,32,65세이상,9.7
2023,33,65세이상,0.0
2023,34,65세이상,10.0
2023,35,65세이상,5.3
2022,36,50-64세,0.0
2022,37,50-64세,0.0
2022,38,50-64세,0.0
2022,39,50-64세,6.3
2022,40,50-64세,0.0
2022,41,50-64세,0.0
2022,42,50-64세,0.0
2022,43,50-64세,0.0
2022,44,50-64세,0.0
2022,45,50-64세,8.3
2022,46,50-64세,0.0
2022,47,50-64세,7.7
2022,48,50-64세,4.5
2022,49,50-64세,3.7
2022,50,50-64세,7.7
2022,51,50-64세,16.0
2022,52,50-64세,6.5
2022,53,50-64세,28.1
2023,1,50-64세,15.2
2023,2,50-64세,12.8
2023,3,50-64세,10.0
2023,4,50-64세,10.0
2023,5,50-64세,7.4
2023,6,50-64세,9.5
2023,7,50-64세,3.8
2023,8,50-64세,4.2
2023,9,50-64세,0.0
2023,10,50-64세,0.0
2023,11,50-64세,0.0
2023,12,50-64세,0.0
2023,13,50-64세,8.3
2023,14,50-64세,3.2
2023,15,50-64세,0.0
2023,16,50-64세,2.3
2023,17,50-64세,6.7
2023,18,50-64세,15.2
2023,19,50-64세,4.3
2023,20,50-64세,20.0
2023,21,50-64세,11.1
2023,22,50-64세,12.5
2023,23,50-64세,5.6
2023,24,50-64세,14.7
2023,25,50-64세,10.7
2023,26,50-64세,0.0
2023,27,50-64세,5.0
2023,28,50-64세,3.7
2023,29,50-64세,5.0
2023,30,50-64세,9.1
2023,31,50-64세,8.3
2023,32,50-64세,8.3
2023,33,50-64세,0.0
2023,34,50-64세,5.0
2023,35,50-64세,9.5
2022,36,19-49세,0.0
2022,37,19-49세,6.3
2022,38,19-49세,0.0
2022,39,19-49세,6.9
2022,40,19-49세,0.0
2022,41,19-49세,4.8
2022,42,19-49세,0.0
2022,43,19-49세,6.1
2022,44,19-49세,0.0
2022,45,19-49세,8.7
2022,46,19-49세,10.2
2022,47,19-49세,24.5
2022,48,19-49세,20.5
2022,49,19-49세,19.3
2022,50,19-49세,12.2
2022,51,19-49세,30.6
2022,52,19-49세,51.7
2022,53,19-49세,44.3
2023,1,19-49세,37.8
2023,2,19-49세,29.2
2023,3,19-49세,9.4
2023,4,19-49세,15.4
2023,5,19-49세,2.1
2023,6,19-49세,11.8
2023,7,19-49세,2.3
2023,8,19-49세,6.3
2023,9,19-49세,11.9
2023,10,19-49세,10.0
2023,11,19-49세,2.3
2023,12,19-49세,6.1
2023,13,19-49세,14.3
2023,14,19-49세,2.2
2023,15,19-49세,5.9
2023,16,19-49세,11.9
2023,17,19-49세,9.6
2023,18,19-49세,19.0
2023,19,19-49세,7.1
2023,20,19-49세,24.4
2023,21,19-49세,26.1
2023,22,19-49세,30.0
2023,23,19-49세,14.3
2023,24,19-49세,11.1
2023,25,19-49세,0.0
2023,26,19-49세,2.8
2023,27,19-49세,8.3
2023,28,19-49세,2.0
2023,29,19-49세,5.9
2023,30,19-49세,15.4
2023,31,19-49세,4.2
2023,32,19-49세,4.8
2023,33,19-49세,0.0
2023,34,19-49세,0.0
2023,35,19-49세,3.8
2022,36,13-18세,6.3
2022,37,13-18세,0.0
2022,38,13-18세,0.0
2022,39,13-18세,0.0
2022,40,13-18세,11.1
2022,41,13-18세,8.3
2022,42,13-18세,0.0
2022,43,13-18세,6.3
2022,44,13-18세,15.8
2022,45,13-18세,28.6
2022,46,13-18세,20.0
2022,47,13-18세,33.3
2022,48,13-18세,13.8
2022,49,13-18세,31.3
2022,50,13-18세,39.4
2022,51,13-18세,62.5
2022,52,13-18세,60.9
2022,53,13-18세,53.6
2023,1,13-18세,33.3
