연도,주차,연령대,응급실 인플루엔자 환자
2023,36,연령미상,0
2023,37,연령미상,0
2023,38,연령미상,0
2023,39,연령미상,0
2023,40,연령미상,0
2023,41,연령미상,0
2023,42,연령미상,0
2023,43,연령미상,0
2023,44,연령미상,0
2023,45,연령미상,0
2023,46,연령미상,0
2023,47,연령미상,0
2023,48,연령미상,0
2023,49,연령미상,0
2023,50,연령미상,0
2023,51,연령미상,0
2023,52,연령미상,0
2023,53,연령미상,0
2024,1,연령미상,0
2024,2,연령미상,0
2024,3,연령미상,0
2024,4,연령미상,0
2024,5,연령미상,0
2024,6,연령미상,0
2024,7,연령미상,0
2024,8,연령미상,0
2024,9,연령미상,0
2024,10,연령미상,0
2024,11,연령미상,0
2024,12,연령미상,0
2024,13,연령미상,0
2024,14,연령미상,0
2024,15,연령미상,0
2024,16,연령미상,0
2024,17,연령미상,0
2024,18,연령미상,0
2024,19,연령미상,0
2024,20,연령미상,0
2024,21,연령미상,0
2024,22,연령미상,0
2024,23,연령미상,0
2024,24,연령미상,0
2024,25,연령미상,0
2024,26,연령미상,0
2024,27,연령미상,0
2024,28,연령미상,0
2024,29,연령미상,0
2024,30,연령미상,0
2024,31,연령미상,0
2024,32,연령미상,0
2024,33,연령미상,0
2024,34,연령미상,0
2024,35,연령미상,0
2023,36,65세이상,112
2023,37,65세이상,116
2023,38,65세이상,147
2023,39,65세이상,379
2023,40,65세이상,405
2023,41,65세이상,328
2023,42,65세이상,276
2023,43,65세이상,427
2023,44,65세이상,528
2023,45,65세이상,411
2023,46,65세이상,462
2023,47,65세이상,759
2023,48,65세이상,995
2023,49,65세이상,1605
2023,50,65세이상,1524
2023,51,65세이상,936
2023,52,65세이상,1502
2023,53,65세이상,1502
2024,1,65세이상,1524
2024,2,65세이상,831
2024,3,65세이상,648
2024,4,65세이상,496
2024,5,65세이상,413
2024,6,65세이상,384
2024,7,65세이상,314
2024,8,65세이상,152
2024,9,65세이상,118
2024,10,65세이상,101
2024,11,65세이상,84
2024,12,65세이상,76
2024,13,65세이상,63
2024,14,65세이상,76
2024,15,65세이상,77
2024,16,65세이상,81
2024,17,65세이상,51
2024,18,65세이상,62
2024,19,65세이상,38
2024,20,65세이상,66
2024,21,65세이상,56
2024,22,65세이상,59
2024,23,65세이상,41
2024,24,65세이상,44
2024,25,65세이상,33
2024,26,65세이상,41
2024,27,65세이상,44
2024,28,65세이상,40
2024,29,65세이상,39
2024,30,65세이상,81
2024,31,65세이상,84
2024,32,65세이상,103
2024,33,65세이상,90
2024,34,65세이상,51
2024,35,65세이상,42
2023,36,50-64세,80
2023,37,50-64세,67
2023,38,50-64세,119
2023,39,50-64세,463
2023,40,50-64세,395
2023,41,50-64세,276
2023,42,50-64세,253
2023,43,50-64세,405
2023,44,50-64세,583
2023,45,50-64세,451
2023,46,50-64세,493
2023,47,50-64세,821
2023,48,50-64세,1125
2023,49,50-64세,1663
2023,50,50-64세,1468
2023,51,50-64세,890
2023,52,50-64세,1600
2023,53,50-64세,1600
2024,1,50-64세,1765
2024,2,50-64세,773
2024,3,50-64세,621
2024,4,50-64세,397
2024,5,50-64세,316
2024,6,50-64세,373
2024,7,50-64세,254
2024,8,50-64세,112
2024,9,50-64세,86
2024,10,50-64세,67
2024,11,50-64세,43
2024,12,50-64세,59
2024,13,50-64세,65
2024,14,50-64세,53
2024,15,50-64세,46
2024,16,50-64세,35
2024,17,50-64세,27
2024,18,50-64세,40
2024,19,50-64세,25
2024,20,50-64세,20
2024,21,50-64세,25
2024,22,50-64세,26
2024,23,50-64세,33
2024,24,50-64세,22
2024,25,50-64세,16
2024,26,50-64세,15
2024,27,50-64세,27
2024,28,50-64세,25
2024,29,50-64세,31
2024,30,50-64세,41
2024,31,50-64세,64
2024,32,50-64세,54
2024,33,50-64세,40
2024,34,50-64세,37
2024,35,50-64세,24
2023,36,19-49세,284
2023,37,19-49세,336
2023,38,19-49세,411
2023,39,19-49세,1430
2023,40,19-49세,1242
2023,41,19-49세,885
2023,42,19-49세,858
2023,43,19-49세,1561
2023,44,19-49세,1910
2023,45,19-49세,1631
2023,46,19-49세,2055
2023,47,19-49세,3349
2023,48,19-49세,4569
2023,49,19-49세,7164
2023,50,19-49세,6174
2023,51,19-49세,3697
2023,52,19-49세,7675
2023,53,19-49세,7675
2024,1,19-49세,8476
2024,2,19-49세,4084
2024,3,19-49세,3316
2024,4,19-49세,2194
2024,5,19-49세,1736
2024,6,19-49세,1936
2024,7,19-49세,1324
2024,8,19-49세,567
2024,9,19-49세,342
2024,10,19-49세,274
2024,11,19-49세,236
2024,12,19-49세,265
2024,13,19-49세,304
2024,14,19-49세,229
2024,15,19-49세,203
2024,16,19-49세,147
2024,17,19-49세,94
2024,18,19-49세,83
2024,19,19-49세,89
2024,20,19-49세,87
2024,21,19-49세,54
2024,22,19-49세,47
2024,23,19-49세,51
2024,24,19-49세,56
2024,25,19-49세,50
2024,26,19-49세,54
2024,27,19-49세,52
2024,28,19-49세,62
2024,29,19-49세,84
2024,30,19-49세,123
2024,31,19-49세,136
2024,32,19-49세,113
2024,33,19-49세,90
2024,34,19-49세,75
2024,35,19-49세,43
2023,36,13-18세,112
2023,37,13-18세,128
2023,38,13-18세,203
2023,39,13-18세,657
2023,40,13-18세,356
2023,41,13-18세,459
2023,42,13-18세,683
2023,43,13-18세,1260
2023,44,13-18세,1392
2023,45,13-18세,1019
2023,46,13-18세,1080
2023,47,13-18세,1366
2023,48,13-18세,1644
2023,49,13-18세,2152
2023,50,13-18세,1772
2023,51,13-18세,1232
2023,52,13-18세,2795
2023,53,13-18세,2795
2024,1,13-18세,3160
2024,2,13-18세,957
2024,3,13-18세,416
2024,4,13-18세,241
2024,5,13-18세,134
2024,6,13-18세,195
2024,7,13-18세,149
2024,8,13-18세,37
2024,9,13-18세,36
2024,10,13-18세,39
2024,11,13-18세,58
2024,12,13-18세,94
2024,13,13-18세,114
2024,14,13-18세,82
2024,15,13-18세,67
2024,16,13-18세,51
2024,17,13-18세,54
2024,18,13-18세,29
2024,19,13-18세,18
2024,20,13-18세,22
2024,21,13-18세,19
2024,22,13-18세,18
2024,23,13-18세,18
2024,24,13-18세,8
2024,25,13-18세,11
2024,26,13-18세,13
2024,27,13-18세,2
2024,28,13-18세,13
2024,29,13-18세,23
2024,30,13-18세,27
2024,31,13-18세,15
2024,32,13-18세,15
2024,33,13-18세,22
2024,34,13-18세,13
2024,35,13-18세,7
2023,36,7-12세,293
2023,37,7-12세,444
2023,38,7-12세,705
2023,39,7-12세,2381
2023,40,7-12세,835
2023,41,7-12세,834
2023,42,7-12세,1333
2023,43,7-12세,2383
2023,44,7-12세,2344
2023,45,7-12세,1413
2023,46,7-12세,1437
2023,47,7-12세,1868
2023,48,7-12세,1809
2023,49,7-12세,2339
2023,50,7-12세,2162
2023,51,7-12세,1298
2023,52,7-12세,2563
2023,53,7-12세,2563
2024,1,7-12세,2792
2024,2,7-12세,1211
2024,3,7-12세,823
2024,4,7-12세,560
2024,5,7-12세,501
2024,6,7-12세,752
2024,7,7-12세,412
2024,8,7-12세,101
2024,9,7-12세,72
2024,10,7-12세,54
2024,11,7-12세,101
2024,12,7-12세,141
2024,13,7-12세,159
2024,14,7-12세,163
2024,15,7-12세,162
2024,16,7-12세,105
2024,17,7-12세,83
2024,18,7-12세,43
2024,19,7-12세,50
2024,20,7-12세,40
2024,21,7-12세,28
2024,22,7-12세,26
2024,23,7-12세,27
2024,24,7-12세,19
2024,25,7-12세,11
2024,26,7-12세,17
2024,27,7-12세,17
2024,28,7-12세,20
2024,29,7-12세,28
2024,30,7-12세,26
2024,31,7-12세,28
2024,32,7-12세,22
2024,33,7-12세,19
2024,34,7-12세,21
2024,35,7-12세,17
2023,36,1-6세,209
2023,37,1-6세,237
2023,38,1-6세,351
2023,39,1-6세,1072
2023,40,1-6세,498
2023,41,1-6세,508
2023,42,1-6세,570
2023,43,1-6세,912
2023,44,1-6세,862
2023,45,1-6세,601
2023,46,1-6세,655
2023,47,1-6세,765
2023,48,1-6세,935
2023,49,1-6세,1379
2023,50,1-6세,1463
2023,51,1-6세,1053
2023,52,1-6세,1546
2023,53,1-6세,1546
2024,1,1-6세,1283
2024,2,1-6세,809
2024,3,1-6세,831
2024,4,1-6세,623
2024,5,1-6세,481
2024,6,1-6세,522
2024,7,1-6세,323
2024,8,1-6세,160
2024,9,1-6세,93
2024,10,1-6세,44
2024,11,1-6세,86
2024,12,1-6세,73
2024,13,1-6세,79
2024,14,1-6세,53
2024,15,1-6세,58
2024,16,1-6세,47
2024,17,1-6세,38
2024,18,1-6세,31
2024,19,1-6세,35
2024,20,1-6세,22
2024,21,1-6세,23
2024,22,1-6세,16
2024,23,1-6세,11
2024,24,1-6세,14
2024,25,1-6세,12
2024,26,1-6세,9
2024,27,1-6세,16
2024,28,1-6세,14
2024,29,1-6세,12
2024,30,1-6세,12
2024,31,1-6세,24
2024,32,1-6세,10
2024,33,1-6세,30
2024,34,1-6세,8
2024,35,1-6세,9
2023,36,0세,12
2023,37,0세,12
2023,38,0세,17
2023,39,0세,34
2023,40,0세,29
2023,41,0세,37
2023,42,0세,36
2023,43,0세,43
2023,44,0세,62
2023,45,0세,63
2023,46,0세,48
2023,47,0세,75
2023,48,0세,122
2023,49,0세,158
2023,50,0세,147
2023,51,0세,80
2023,52,0세,180
2023,53,0세,180
2024,1,0세,136
2024,2,0세,93
2024,3,0세,46
2024,4,0세,53
2024,5,0세,43
2024,6,0세,28
2024,7,0세,34
2024,8,0세,6
2024,9,0세,11
2024,10,0세,9
2024,11,0세,3
2024,12,0세,8
2024,13,0세,7
2024,14,0세,3
2024,15,0세,2
2024,16,0세,2
2024,17,0세,4
2024,18,0세,3
2024,19,0세,5
2024,20,0세,3
2024,21,0세,4
2024,22,0세,5
2024,23,0세,2
2024,24,0세,0
2024,25,0세,1
2024,26,0세,1
2024,27,0세,1
2024,28,0세,0
2024,29,0세,1
2024,30,0세,1
2024,31,0세,3
2024,32,0세,1
2024,33,0세,1
2024,34,0세,1
2024,35,0세,0
