연도,주차,연령대,예방접종률
2023,38,75세 이상,0.0
2023,39,75세 이상,0.0
2023,40,75세 이상,0.0
2023,41,75세 이상,43.4
2023,42,75세 이상,66.1
2023,43,75세 이상,76.5
2023,44,75세 이상,81.0
2023,45,75세 이상,83.2
2023,46,75세 이상,84.3
2023,47,75세 이상,85.0
2023,48,75세 이상,85.6
2023,49,75세 이상,85.9
2023,50,75세 이상,86.1
2023,51,75세 이상,86.2
2023,52,75세 이상,86.3
2023,53,75세 이상,86.3
2024,1,75세 이상,86.3
2024,2,75세 이상,86.4
2024,3,75세 이상,86.4
2024,4,75세 이상,86.4
2024,5,75세 이상,86.4
2024,6,75세 이상,86.4
2024,7,75세 이상,86.5
2024,8,75세 이상,86.5
2024,9,75세 이상,86.5
2024,10,75세 이상,86.5
2024,11,75세 이상,86.5
2024,12,75세 이상,86.5
2024,13,75세 이상,86.5
2024,14,75세 이상,86.5
2024,15,75세 이상,86.5
2024,16,75세 이상,86.5
2024,17,75세 이상,86.5
2024,18,75세 이상,86.5
2023,38,70-74세,0.0
2023,39,70-74세,0.0
2023,40,70-74세,0.0
2023,41,70-74세,8.5
2023,42,70-74세,53.1
2023,43,70-74세,67.7
2023,44,70-74세,75.2
2023,45,70-74세,79.0
2023,46,70-74세,81.0
2023,47,70-74세,82.3
2023,48,70-74세,83.4
2023,49,70-74세,84.0
2023,50,70-74세,84.4
2023,51,70-74세,84.6
2023,52,70-74세,84.8
2023,53,70-74세,84.8
2024,1,70-74세,84.8
2024,2,70-74세,84.9
2024,3,70-74세,84.9
2024,4,70-74세,85.0
2024,5,70-74세,85.0
2024,6,70-74세,85.0
2024,7,70-74세,85.0
2024,8,70-74세,85.0
2024,9,70-74세,85.0
2024,10,70-74세,85.0
2024,11,70-74세,85.0
2024,12,70-74세,85.0
2024,13,70-74세,85.0
2024,14,70-74세,85.0
2024,15,70-74세,85.0
2024,16,70-74세,85.1
2024,17,70-74세,85.1
2024,18,70-74세,85.1
2023,38,65-69세,0.0
2023,39,65-69세,0.0
2023,40,65-69세,0.0
2023,41,65-69세,5.0
2023,42,65-69세,31.4
2023,43,65-69세,50.3
2023,44,65-69세,60.6
2023,45,65-69세,66.3
2023,46,65-69세,69.4
2023,47,65-69세,71.3
2023,48,65-69세,73.2
2023,49,65-69세,74.2
2023,50,65-69세,74.8
2023,51,65-69세,75.3
2023,52,65-69세,75.5
2023,53,65-69세,75.5
2024,1,65-69세,75.6
2024,2,65-69세,75.7
2024,3,65-69세,75.8
2024,4,65-69세,75.8
2024,5,65-69세,75.9
2024,6,65-69세,75.9
2024,7,65-69세,75.9
2024,8,65-69세,75.9
2024,9,65-69세,75.9
2024,10,65-69세,76.0
2024,11,65-69세,76.0
2024,12,65-69세,76.0
2024,13,65-69세,76.0
2024,14,65-69세,76.0
2024,15,65-69세,76.0
2024,16,65-69세,76.0
2024,17,65-69세,76.0
2024,18,65-69세,76.0
2023,38,65세 이상,0.0
2023,39,65세 이상,0.0
2023,40,65세 이상,0.0
2023,41,65세 이상,21.9
2023,42,65세 이상,51.0
2023,43,65세 이상,65.3
2023,44,65세 이상,72.5
2023,45,65세 이상,76.3
2023,46,65세 이상,78.3
2023,47,65세 이상,79.6
2023,48,65세 이상,80.8
2023,49,65세 이상,81.4
2023,50,65세 이상,81.8
2023,51,65세 이상,82.0
2023,52,65세 이상,82.2
2023,53,65세 이상,82.2
2024,1,65세 이상,82.3
2024,2,65세 이상,82.3
2024,3,65세 이상,82.4
2024,4,65세 이상,82.4
2024,5,65세 이상,82.4
2024,6,65세 이상,82.4
2024,7,65세 이상,82.4
2024,8,65세 이상,82.5
2024,9,65세 이상,82.5
2024,10,65세 이상,82.5
2024,11,65세 이상,82.5
2024,12,65세 이상,82.5
2024,13,65세 이상,82.5
2024,14,65세 이상,82.5
2024,15,65세 이상,82.5
2024,16,65세 이상,82.5
2024,17,65세 이상,82.5
2024,18,65세 이상,82.5
