연도,주차,연령대,예방접종률
2018,38,7-12세,0.4
2018,39,7-12세,0.8
2018,40,7-12세,12.4
2018,41,7-12세,30.0
2018,42,7-12세,42.4
2018,43,7-12세,50.5
2018,44,7-12세,56.2
2018,45,7-12세,59.2
2018,46,7-12세,61.1
2018,47,7-12세,62.3
2018,48,7-12세,63.2
2018,49,7-12세,63.8
2018,50,7-12세,64.2
2018,51,7-12세,64.6
2018,52,7-12세,64.8
2018,53,7-12세,64.8
2019,1,7-12세,65.0
2019,2,7-12세,65.1
2019,3,7-12세,65.1
2019,4,7-12세,65.2
2019,5,7-12세,65.2
2019,6,7-12세,65.3
2019,7,7-12세,65.3
2019,8,7-12세,65.3
2019,9,7-12세,65.3
2019,10,7-12세,65.3
2019,11,7-12세,65.4
2019,12,7-12세,65.4
2019,13,7-12세,65.4
2019,14,7-12세,65.4
2019,15,7-12세,65.4
2019,16,7-12세,65.4
2019,17,7-12세,65.4
2019,18,7-12세,65.4
2018,38,6개월-6세,3.7
2018,39,6개월-6세,5.0
2018,40,6개월-6세,20.4
2018,41,6개월-6세,40.3
2018,42,6개월-6세,54.9
2018,43,6개월-6세,64.0
2018,44,6개월-6세,70.3
2018,45,6개월-6세,73.7
2018,46,6개월-6세,76.0
2018,47,6개월-6세,77.6
2018,48,6개월-6세,78.7
2018,49,6개월-6세,79.5
2018,50,6개월-6세,80.2
2018,51,6개월-6세,80.7
2018,52,6개월-6세,81.2
2018,53,6개월-6세,81.2
2019,1,6개월-6세,81.6
2019,2,6개월-6세,82.0
2019,3,6개월-6세,82.2
2019,4,6개월-6세,82.5
2019,5,6개월-6세,82.8
2019,6,6개월-6세,82.9
2019,7,6개월-6세,83.1
2019,8,6개월-6세,83.3
2019,9,6개월-6세,83.4
2019,10,6개월-6세,83.5
2019,11,6개월-6세,83.6
2019,12,6개월-6세,83.6
2019,13,6개월-6세,83.6
2019,14,6개월-6세,83.6
2019,15,6개월-6세,83.6
2019,16,6개월-6세,83.7
2019,17,6개월-6세,83.7
2019,18,6개월-6세,83.7
2018,38,6개월-12세,2.0
2018,39,6개월-12세,2.9
2018,40,6개월-12세,16.4
2018,41,6개월-12세,35.2
2018,42,6개월-12세,48.7
2018,43,6개월-12세,57.3
2018,44,6개월-12세,63.3
2018,45,6개월-12세,66.5
2018,46,6개월-12세,68.6
2018,47,6개월-12세,70.0
2018,48,6개월-12세,70.9
2018,49,6개월-12세,71.7
2018,50,6개월-12세,72.2
2018,51,6개월-12세,72.7
2018,52,6개월-12세,73.0
2018,53,6개월-12세,73.0
2019,1,6개월-12세,73.3
2019,2,6개월-12세,73.5
2019,3,6개월-12세,73.7
2019,4,6개월-12세,73.9
2019,5,6개월-12세,74.0
2019,6,6개월-12세,74.1
2019,7,6개월-12세,74.2
2019,8,6개월-12세,74.3
2019,9,6개월-12세,74.4
2019,10,6개월-12세,74.5
2019,11,6개월-12세,74.5
2019,12,6개월-12세,74.5
2019,13,6개월-12세,74.5
2019,14,6개월-12세,74.5
2019,15,6개월-12세,74.5
2019,16,6개월-12세,74.5
2019,17,6개월-12세,74.5
2019,18,6개월-12세,74.5
